1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story.	1
2	1	A series of escapades demonstrating the adage that what is good for the goose	2
3	1	A series	2
4	1	A	2
5	1	series	2
6	1	of escapades demonstrating the adage that what is good for the goose	2
7	1	of	2
8	1	escapades demonstrating the adage that what is good for the goose	2
9	1	escapades	2
10	1	demonstrating the adage that what is good for the goose	2
11	1	demonstrating the adage	2
12	1	demonstrating	2
13	1	the adage	2
14	1	the	2
15	1	adage	2
16	1	that what is good for the goose	2
17	1	that	2
18	1	what is good for the goose	2
19	1	what	2
20	1	is good for the goose	2
21	1	is	2
22	1	good for the goose	3
23	1	good	3
24	1	for the goose	2
25	1	for	2
26	1	the goose	2
27	1	goose	2
28	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	2
29	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
30	1	is also	2
31	1	also	2
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
33	1	for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
34	1	the gander , some of which occasionally amuses but none of which amounts to much of a story	1
35	1	the gander ,	2
36	1	the gander	2
37	1	gander	2
38	1	,	2
39	1	some of which occasionally amuses but none of which amounts to much of a story	2
40	1	some of which	2
41	1	some	2
42	1	of which	2
43	1	which	2
44	1	occasionally amuses but none of which amounts to much of a story	2
45	1	occasionally	2
46	1	amuses but none of which amounts to much of a story	2
47	1	amuses	3
48	1	but none of which amounts to much of a story	1
49	1	but	2
50	1	none of which amounts to much of a story	1
51	1	none	2
52	1	of which amounts to much of a story	2
53	1	which amounts to much of a story	2
54	1	amounts to much of a story	2
55	1	amounts	2
56	1	to much of a story	2
57	1	to	2
58	1	much of a story	2
59	1	much	2
60	1	of a story	2
61	1	a story	2
62	1	story	2
63	1	.	2
117	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .	3
118	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera	4
119	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder	4
120	4	A positively thrilling combination	3
121	4	positively thrilling combination	3
122	4	positively	3
123	4	thrilling combination	3
124	4	thrilling	4
125	4	combination	2
126	4	of ethnography and all the intrigue , betrayal , deceit and murder	2
127	4	ethnography and all the intrigue , betrayal , deceit and murder	2
128	4	ethnography and	2
129	4	ethnography	2
130	4	all the intrigue , betrayal , deceit and murder	2
131	4	all	2
132	4	the intrigue , betrayal , deceit and murder	1
133	4	intrigue , betrayal , deceit and murder	2
134	4	intrigue	3
135	4	, betrayal , deceit and murder	2
136	4	betrayal , deceit and murder	1
137	4	betrayal	2
138	4	, deceit and murder	1
139	4	deceit and murder	1
140	4	deceit and	2
141	4	deceit	1
142	4	murder	1
143	4	of a Shakespearean tragedy or a juicy soap opera	2
144	4	a Shakespearean tragedy or a juicy soap opera	2
145	4	a Shakespearean tragedy or	2
146	4	a Shakespearean tragedy	1
147	4	Shakespearean tragedy	2
148	4	Shakespearean	2
149	4	tragedy	1
150	4	or	2
151	4	a juicy soap opera	3
152	4	juicy soap opera	3
153	4	juicy	3
154	4	soap opera	1
155	4	soap	2
156	4	opera	2
157	5	Aggressive self-glorification and a manipulative whitewash .	1
158	5	Aggressive self-glorification and a manipulative whitewash	0
159	5	Aggressive	2
160	5	self-glorification and a manipulative whitewash	0
161	5	self-glorification and	1
162	5	self-glorification	2
163	5	a manipulative whitewash	1
164	5	manipulative whitewash	1
165	5	manipulative	2
166	5	whitewash	2
199	7	Narratively , Trouble Every Day is a plodding mess .	1
200	7	Narratively	2
201	7	, Trouble Every Day is a plodding mess .	1
202	7	Trouble Every Day is a plodding mess .	0
203	7	Trouble Every Day	2
204	7	Trouble	1
205	7	Every Day	2
206	7	Every	2
207	7	Day	2
208	7	is a plodding mess .	1
209	7	is a plodding mess	0
210	7	a plodding mess	1
211	7	plodding mess	0
212	7	plodding	1
